compound_id,compound_name_raw,compound_name_normalized,pubchem_cid,molecular_formula,molecular_weight,smiles,inchikey,iupac_name,xlogp,tpsa,dtxsid,dtxcid,logd55,logd74,ready_bio_deg,kegg_ids,kegg_names,kegg_pathways,chembl_ids
CMPD_BF16C562AF8C,5'-hexamethoxyflavone,5' hexamethoxyflavone,,,,,,,,,,,,,,,,,
CMPD_BF1E69247960,hederasaponins I,hederasaponins i,102213713,C65H59N5O10+4,1070.2,C1C2=CC=C(C[N+]3=CC=C(C=C3)C4=CC=[N+](CC5=C6C(=C(C[N+]7=CC=C(C=C7)C8=CC=[N+]1C=C8)C=C5)C(=O)N(C6=O)CC(=O)OCCOCCOC9=CC=CC1=C9C=CC=C1OCCOCCOC1=CC=C(C=C1)C=O)C=C4)C=C2,FYGOWCQYYWLNOF-UHFFFAOYSA-N,"2-[2-[5-[2-[2-(4-formylphenoxy)ethoxy]ethoxy]naphthalen-1-yl]oxyethoxy]ethyl 2-(28,30-dioxo-29-aza-3,10,17,24-tetrazoniaoctacyclo[24.5.2.23,6.27,10.212,15.217,20.221,24.027,31]tritetraconta-1(31),3(43),4,6(42),7(41),8,10(40),12(39),13,15(38),17,19,21,23,26,32,34,36-octadecaen-29-yl)acetate",8.5,142,,,,,,,,,
CMPD_BF398E4B824E,"1-hexadecyl-2,3-dihydro-1H-indene",1 hexadecyl 2 3 dihydro 1h indene,541018,C23H34O4,374.5,CC(=O)C1CCC2C1(CCC3(C2CC=C4C3(CCC(C4)OC(=O)C)C)O)C,RHZRAVACHXMGOW-UHFFFAOYSA-N,"(17-acetyl-9-hydroxy-10,13-dimethyl-1,2,3,4,7,8,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-yl) acetate",3.2,63.6,,,,,,,,,
CMPD_BF4AFAEE1516,"7-O-[α-rhamnopyranosyl-(1->6)-β-glucopyranosyl]-4',5,7-trihydroxy-flavanone","7 o [α rhamnopyranosyl (1 >6) β glucopyranosyl] 4',5,7 trihydroxy flavanone",,,,,,,,,,,,,,,,,
CMPD_BF516BF2D07A,Fucotriphloroethol,fucotriphloroethol,101569426,C13H29N3S2,291.5,CC(C)N1CCN(CCN(CC1)CCS)CCS,YHERXDABKBNYTC-UHFFFAOYSA-N,"2-[4-propan-2-yl-7-(2-sulfanylethyl)-1,4,7-triazonan-1-yl]ethanethiol",1.5,11.7,,,,,,,,,
CMPD_BF6724CF1A50,"3-beta-hydroxy-24-methylene-9,19-cyclolanostane","3 beta hydroxy 24 methylene 9,19 cyclolanostane",,,,,,,,,,,,,,,,,
CMPD_BF774DFF144E,11-octadecenal,11 octadecenal,5283382,C18H34O,266.5,CCCCCC/C=C/CCCCCCCCCC=O,YSSVMXHKWSNHLH-BQYQJAHWSA-N,(E)-octadec-11-enal,7.2,17.1,,,,,,,,,
CMPD_BF97CCD4150E,"Olean-12-ene-3,15,16,21,22,28-hexol",olean 12 ene 3 15 16 21 22 28 hexol,12901375,C13H30NO2SSn+,383.2,C[N+]1(CCCCC1)CCS(=O)(=O)CC[Sn](C)(C)C,,,,,,,,,,,,,
CMPD_BFA2FB46EA14,L-alpha-terpineol,l alpha terpineol,443162,C10H18O,154.25,CC1=CC[C@H](CC1)C(C)(C)O,WUOACPNHFRMFPN-SECBINFHSA-N,2-[(1S)-4-methylcyclohex-3-en-1-yl]propan-2-ol,1.8,20.2,DTXSID5052672,DTXCID2031245,"2,98","2,98",0.0,,,,CHEMBL447597
CMPD_BFB376CB9CE3,oleic acid 3-(octadecyloxy) propyl ester,oleic acid 3 (octadecyloxy) propyl ester,,,,,,,,,,,,,,,,,
CMPD_BFB6BA85F87B,dihydrodehydrodiconiferyl alcohol,dihydrodehydrodiconiferyl alcohol,384679,C20H24O6,360.4,COC1=CC(=CC2=C1O[C@@H]([C@H]2CO)C3=CC(=C(C=C3)O)OC)CCCO,SBLZVJIHPWRSQQ-HNAYVOBHSA-N,"4-[(2S,3R)-3-(hydroxymethyl)-5-(3-hydroxypropyl)-7-methoxy-2,3-dihydro-1-benzofuran-2-yl]-2-methoxyphenol",2.1,88.4,DTXSID501272203,DTXCID101702785,"2,1","2,1",0.0,,,,CHEMBL261907
