compound_id,file_name,file_path,file_type,match_method,match_score,source
CMPD_42C719DFC421,10805.sdf,/structures/10805.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_A81D8779D310,10812337.sdf,/structures/10812337.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_06B4CA277791,10855476.sdf,/structures/10855476.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_E7679D452D7D,10878761.sdf,/structures/10878761.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_A8CE643148B8,10887854.sdf,/structures/10887854.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_F089BC59E4D4,10892015.sdf,/structures/10892015.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_1CCBAC788B10,10901509.sdf,/structures/10901509.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_7CE82794B5A1,10915671.sdf,/structures/10915671.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_25DD030D1102,10940562.sdf,/structures/10940562.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_3218199971DC,10967584.sdf,/structures/10967584.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_015B37BF1C8E,10967759.sdf,/structures/10967759.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_42845ABEE19F,109848.sdf,/structures/109848.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B82E94131B3F,10986705.sdf,/structures/10986705.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_F7484FE8CB63,11-acetoxyeudesman-4alpha-ol.sdf,/structures/11-acetoxyeudesman-4alpha-ol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_FBF0B5494D46,11-ethoxyviburtinal.sdf,/structures/11-ethoxyviburtinal.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_89A52F55CB6D,11-himachal-4-en-1-ol.sdf,/structures/11-himachal-4-en-1-ol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_00242CA438FA,11-keto-β-boswellic_acid.sdf,/structures/11-keto-β-boswellic_acid.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_FADF39BB87CF,11-methyl-sulphinylundecanenitrile.sdf,/structures/11-methyl-sulphinylundecanenitrile.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_BF774DFF144E,11-octadecenal.sdf,/structures/11-octadecenal.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_3517D92FC06B,11-oxo-alpha-Amyrin.sdf,/structures/11-oxo-alpha-Amyrin.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_0177B1320254,11016480.sdf,/structures/11016480.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_F5732968BB7A,11025555.sdf,/structures/11025555.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_975E5C331A74,11030025.sdf,/structures/11030025.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_FDD04A8B5036,11030058.sdf,/structures/11030058.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_217CF4ACEDF1,11033280.sdf,/structures/11033280.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_10F2CB768386,11034444.sdf,/structures/11034444.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
